document_id,question,answer,reference
49858_樓居雜著,Did Zhu Xingfu's father die in the year of Zhengde Guiyou?,True,性父死時，為正德癸酉七月廿又五日，享年七十。
49858_樓居雜著,Did Zhu Xingfu become an official during his lifetime?,False,兩人皆不業仕進，又不隨俗為廛井小人之事。
49858_樓居雜著,Did Zhu Xingfu's poetry aim to innovate while following ancient styles?,True,其詩精工雅潔，務出新意，處追躅古人。
49858_樓居雜著,Was Zhu Xingfu uninterested in collecting books?,False,惟聞人有奇書，輒從以求，以必得為志；或手自繕錄，動盈筐篋。
49858_樓居雜著,Did Zhu Xingfu have a total of four sons?,True,生子四人：男延娶湯氏，建娶尹氏；
49022_懷星堂集,Did Tang Bin have a brother who held an official position?,True,中年而弟渭出仕，尹赤縣，贊宗府君
49022_懷星堂集,Did Tang Bin die before the age of 70?,False,年七十有六
49022_懷星堂集,Did Tang Bin have a son named Cong who died early?,True,有側出一人曰琮，早死
49022_懷星堂集,Did Tang Bin's wife belong to the Yang family?,False,配袁氏甚賢
49022_懷星堂集,Was Tang Bin's burial site prepared in advance by himself?,True,蓋君所豫營也
11170_匏翁家藏集,Did Chen Mengzhu die at the age of 36?,True,竟以成化十三年十二月十三日卒，年止三十六
11170_匏翁家藏集,Was Chen Mengzhu's family originally involved in medicine?,True,故業醫，後更業賈
11170_匏翁家藏集,Did Chen Mengzhu's father write the epitaph?,False,將葬，其父涕泣請銘，而其弟子繆頥、楊循吉數輩且謁予曰：『巳買石琢為碣矣，謹俟。』
11170_匏翁家藏集,Did Chen Mengzhu have a son?,False,其配曰姚氏，無子，以弟珩之子田為後
11170_匏翁家藏集,Did Chen Mengzhu study to become a scholar?,True,遂業儒
54002_甫田集,Did He Gong retire from his position as Minister of Works in Nanjing in January of the 14th year of Jiajing?,True,嘉靖十有四年乙未正月廿又八日，南京工部尚書山隂何公致仕卒於家
54002_甫田集,Did He Gong serve as a Minister of Works in Beijing?,False,授南京工部都水司主事
54002_甫田集,Did He Gong manage to reduce costs by fifteen percent during a project involving the transportation of materials?,True,輕舟乘漲輸之，損費十五，人尤便利
54002_甫田集,Was He Gong imprisoned for a long time without any charges?,True,為瑾所惡，摭拾他事，下詔獄，乆之無所坐
54002_甫田集,Did He Gong's efforts lead to a bountiful harvest in the region he governed?,True,一時雨澤沾足，飛蝗蔽天，亦不入境，嵗大穰，郡以大治
76363_震川先生集,Did the tomb of Ye Wenzhuang initially have to pay rent to the government?,True,而墓地猶歲輸官租。
76363_震川先生集,Was the rent for Ye Wenzhuang's tomb land abolished during the Ming Dynasty?,True,由是，文莊公墓地始不輸官租云。
76363_震川先生集,Did the Ming Dynasty emperor issue a decree to maintain the tombs of previous emperors and ministers?,True,詔前代帝王陵寢，及名臣、本朝文武大臣敕葬墳墓好在，官為修治，置守塚，復其人稅，未除者除之。
76363_震川先生集,Was Ye Wenzhuang's tomb exempt from taxes before the intervention of the local officials?,False,而墓地猶歲輸官租。
76363_震川先生集,"Did Ye Wenzhuang's descendant, Gonghuan, request an inscription on stone to commemorate the event?",True,公五世孫鄉進士恭煥，蒙荷天子之恩，感巡撫公之誼及縣侯之勤其事，因請書之于石，以告于後人。
